Player,PTS,Salary
Aaron Gordon,15,"$16,409,091 "
Aaron Holiday,6.8,"$3,980,551 "
Aaron Nesmith,3.8,"$3,631,200 "
Aaron Wiggins,8.3,"$1,000,000 "
Abdel Nader,2.4,"$2,000,000 "
Al Horford,10.2,"$27,000,000 "
Alec Burks,11.7,"$9,536,000 "
Aleksej Pokusevski,7.6,"$3,113,160 "
Alex Caruso,7.4,"$8,604,651 "
Alex Len,6,"$3,731,707 "
Alfonzo McKinnie,3.5,"$1,090,007 "
Alize Johnson,2.3,"$705,598 "
Alperen Şengün,9.6,"$3,214,680 "
Amir Coffey,9,"$153,488 "
Andre Drummond,11.8,"$2,401,537 "
Andre Iguodala,4,"$2,641,691 "
Andrew Wiggins,17.2,"$31,579,390 "
Anfernee Simons,17.3,"$3,938,818 "
Anthony Davis,23.2,"$35,361,360 "
Anthony Edwards,21.3,"$10,245,480 "
Anthony Gill,4.1,"$1,517,981 "
Armoni Brooks,2.6,"$1,625,991 "
Austin Reaves,7.3,"$925,258 "
Austin Rivers,6,"$2,401,537 "
Avery Bradley,6.4,"$2,641,691 "
Ayo Dosunmu,8.8,"$925,258 "
Bam Adebayo,19.1,"$28,103,550 "
Ben McLemore,10.2,"$2,389,641 "
Bismack Biyombo,5.8,"$1,366,392 "
Blake Griffin,6.4,"$32,405,817 "
Boban Marjanović,4.3,"$3,500,000 "
Bobby Portis,14.6,"$4,347,600 "
Bogdan Bogdanović,15.1,"$18,000,000 "
Bojan Bogdanović,18.1,"$18,700,000 "
Bol Bol,2.4,"$2,161,152 "
Bones Hyland,10.1,"$2,096,880 "
Brad Wanamaker,7,"$705,598 "
Bradley Beal,23.2,"$34,502,130 "
Brandon Boston Jr.,6.7,"$925,258 "
Brandon Clarke,10.4,"$2,726,880 "
Brandon Ingram,22.7,"$29,467,800 "
Brook Lopez,12.4,"$13,302,325 "
Bruce Brown,9,"$4,736,102 "
Bruno Fernando,6.9,"$1,782,621 "
Buddy Hield,18.2,"$22,477,273 "
CJ Elleby,5.8,"$1,517,981 "
CJ McCollum,24.3,"$30,864,198 "
Cade Cunningham,17.4,"$10,050,120 "
Caleb Martin,9.2,"$527,614 "
Cam Reddish,6.1,"$4,670,160 "
Cam Thomas,8.5,"$2,036,280 "
Cameron Johnson,12.5,"$4,437,000 "
Cameron Payne,10.8,"$6,500,000 "
Caris LeVert,13.6,"$17,500,000 "
Carmelo Anthony,13.3,"$2,641,691 "
Carsen Edwards,5.8,"$76,744 "
Cedi Osman,10.7,"$8,050,000 "
Charles Bassey,3,"$925,258 "
Chimezie Metu,8.9,"$1,762,796 "
Chris Boucher,9.4,"$7,009,615 "
Chris Duarte,13.1,"$3,749,520 "
Chris Paul,14.7,"$30,800,000 "
Christian Wood,17.9,"$13,666,667 "
Chuma Okeke,8.6,"$3,277,080 "
Clint Capela,11.1,"$17,103,448 "
Coby White,12.7,"$5,837,760 "
Cody Martin,7.7,"$1,782,621 "
Cody Zeller,5.2,"$2,389,641 "
Cole Anthony,16.3,"$3,449,400 "
Collin Sexton,16,"$6,349,671 "
Corey Kispert,8.2,"$3,383,640 "
Cory Joseph,8,"$7,310,000 "
D'Angelo Russell,18.1,"$30,013,500 "
D.J. Augustin,5.3,"$7,622,467 "
Daishen Nix,3.2,"$292,466 "
Dalano Banton,3.2,"$925,258 "
Damian Jones,8.1,"$1,977,011 "
Damian Lillard,24,"$39,344,900 "
Damion Lee,7.4,"$1,910,860 "
Daniel Gafford,9.4,"$1,782,621 "
Daniel Theis,7.9,"$8,372,093 "
Danilo Gallinari,11.7,"$20,475,000 "
Danny Green,5.9,"$10,000,000 "
Danuel House Jr.,6.8,"$2,045,094 "
Darius Bazley,10.8,"$2,513,040 "
Darius Garland,21.7,"$7,040,880 "
David Nwaba,5.1,"$4,650,000 "
Davion Mitchell,11.5,"$4,603,320 "
Day'Ron Sharpe,6.2,"$2,009,040 "
De'Aaron Fox,23.2,"$28,103,550 "
De'Andre Hunter,13.4,"$7,775,400 "
De'Anthony Melton,10.8,"$8,437,500 "
DeAndre Jordan,4.6,"$11,109,327 "
DeAndre' Bembry,0.8,"$2,541,217 "
DeMar DeRozan,27.9,"$26,000,000 "
DeMarcus Cousins,8.9,"$1,290,481 "
