Player,PTS,Salary,degree
Joel Embiid,30.6,"$31,579,390 ",3
Giannis Antetokounmpo,29.9,"$39,344,970 ",5
Kevin Durant,29.9,"$40,918,900 ",5
LeBron James,30.3,"$41,180,544 ",5
Ja Morant,27.4,"$9,603,360 ",8
Kyrie Irving,27.4,"$34,916,200 ",8
Devin Booker,26.8,"$31,610,000 ",9
Jayson Tatum,26.9,"$28,103,550 ",9
Luka Dončić,28.4,"$10,174,391 ",9
Nikola Jokić,27.1,"$30,510,423 ",9
Trae Young,28.4,"$8,326,471 ",9
DeMar DeRozan,27.9,"$26,000,000 ",10
CJ McCollum,24.3,"$30,864,198 ",12
Paul George,24.3,"$39,344,970 ",12
Donovan Mitchell,25.9,"$28,103,550 ",13
Karl-Anthony Towns,24.6,"$31,610,000 ",13
Shai Gilgeous-Alexander,24.5,"$5,495,532 ",13
Stephen Curry,25.5,"$45,780,966 ",13
Zach LaVine,24.4,"$19,500,000 ",13
Anthony Davis,23.2,"$35,361,360 ",14
Bradley Beal,23.2,"$34,502,130 ",14
Damian Lillard,24,"$39,344,900 ",14
De'Aaron Fox,23.2,"$28,103,550 ",14
Jaylen Brown,23.6,"$24,830,357 ",14
Pascal Siakam,22.8,"$31,320,000 ",18
Brandon Ingram,22.7,"$29,467,800 ",19
Jimmy Butler,21.4,"$36,016,200 ",19
Juwan Morgan,0,"$19,186 ",19
Norman Powell,21.4,"$15,517,242 ",19
Sam Dekker,0,"$350,000 ",19
Kristaps Porziņģis,22.1,"$31,650,600 ",20
Anthony Edwards,21.3,"$10,245,480 ",21
Darius Garland,21.7,"$7,040,880 ",21
Dejounte Murray,21.1,"$15,428,571 ",21
James Harden,21,"$43,848,000 ",21
Tyler Herro,20.7,"$4,004,280 ",21
Klay Thompson,20.4,"$37,980,720 ",23
Fred VanVleet,20.3,"$19,675,926 ",25
Miye Oni,0.3,"$850,331 ",26
Julius Randle,20.1,"$19,800,000 ",27
Khris Middleton,20.1,"$35,500,000 ",27
LaMelo Ball,20.1,"$8,231,760 ",27
Miles Bridges,20.2,"$5,421,493 ",27
RJ Barrett,20,"$8,623,920 ",28
Josh Hart,19.9,"$12,000,000 ",29
